Street Name,dia,hora,Current Speed (km/h)
Alfonso Reyes,2024-09-20,22,14.3828125
Alfonso Reyes,2024-09-20,23,15.441176470588236
Alfonso Reyes,2024-09-21,0,16.733854380913208
Alfonso Reyes,2024-09-21,1,17.43268229443394
Alfonso Reyes,2024-09-21,2,18.32926313812051
Alfonso Reyes,2024-09-21,3,17.91630163757666
Alfonso Reyes,2024-09-21,4,17.7962158808933
Alfonso Reyes,2024-09-21,5,16.54509359047079
Alfonso Reyes,2024-09-21,6,18.179800221975583
Alfonso Reyes,2024-09-21,7,16.689473684210526
Alfonso Reyes,2024-09-21,8,15.094691535150647
Alfonso Reyes,2024-09-21,9,13.72159090909091
Alfonso Reyes,2024-09-21,10,14.900597501357959
Alfonso Reyes,2024-09-21,11,13.194078947368421
Alfonso Reyes,2024-09-21,12,14.543840177580467
Alfonso Reyes,2024-09-21,13,14.053792569659443
Alfonso Reyes,2024-09-21,14,13.846153846153847
Alfonso Reyes,2024-09-21,15,12.93399934490665
Alfonso Reyes,2024-09-21,16,12.764317305833798
Alfonso Reyes,2024-09-21,17,12.791222313371616
Alfonso Reyes,2024-09-21,18,13.356890459363957
Alfonso Reyes,2024-09-21,19,12.148813538537004
Alfonso Reyes,2024-09-21,20,13.452638778069076
Alfonso Reyes,2024-09-21,21,13.957652060170046
Alfonso Reyes,2024-09-21,22,13.885069556777742
Alfonso Reyes,2024-09-21,23,14.637362637362639
Alfonso Reyes,2024-09-22,0,16.586924305702574
Alfonso Reyes,2024-09-22,1,16.514423076923077
Alfonso Reyes,2024-09-22,2,16.43509329098849
Alfonso Reyes,2024-09-22,3,17.4197247706422
Alfonso Reyes,2024-09-22,4,18.26086956521739
Alfonso Reyes,2024-09-22,5,18.54054963814287
Alfonso Reyes,2024-09-22,6,18.713329902213072
Alfonso Reyes,2024-09-22,7,17.449370319945544
Alfonso Reyes,2024-09-22,8,16.668909685294572
Alfonso Reyes,2024-09-22,9,16.44959409594096
Alfonso Reyes,2024-09-22,10,15.504585685667456
Alfonso Reyes,2024-09-22,11,14.812283150548353
Alfonso Reyes,2024-09-22,12,14.241673153345078
Alfonso Reyes,2024-09-22,13,14.266814650388456
Alfonso Reyes,2024-09-22,14,14.173000608642727
Alfonso Reyes,2024-09-22,15,13.955813307403806
Alfonso Reyes,2024-09-22,16,13.683817753338571
Alfonso Reyes,2024-09-22,17,14.765850308995194
Alfonso Reyes,2024-09-22,18,13.7025
Alfonso Reyes,2024-09-22,19,14.295253074063485
Alfonso Reyes,2024-09-22,20,14.530859796661229
Alfonso Reyes,2024-09-22,21,14.914303009920967
Alfonso Reyes,2024-09-22,22,16.622057953873444
Alfonso Reyes,2024-09-22,23,18.059794413148268
Alfonso Reyes,2024-09-23,0,18.65204765450484
Alfonso Reyes,2024-09-23,1,18.247099159663865
Alfonso Reyes,2024-09-23,2,18.31390243902439
Alfonso Reyes,2024-09-23,3,18.146396890262135
Alfonso Reyes,2024-09-23,4,17.298849533472236
Alfonso Reyes,2024-09-23,5,18.749555490629827
Alfonso Reyes,2024-09-23,6,17.790697674418603
Alfonso Reyes,2024-09-23,7,16.556066705002877
Alfonso Reyes,2024-09-23,8,16.15414117432198
Alfonso Reyes,2024-09-23,9,14.67558799675588
Alfonso Reyes,2024-09-23,10,14.000192046530131
Alfonso Reyes,2024-09-23,11,14.372831367106176
Alfonso Reyes,2024-09-23,12,14.255539772727271
Alfonso Reyes,2024-09-23,13,13.336929831088623
Alfonso Reyes,2024-09-23,14,12.749641662685143
Alfonso Reyes,2024-09-23,15,13.205340812096086
Alfonso Reyes,2024-09-23,16,12.419452297201062
Alfonso Reyes,2024-09-23,17,12.83205531973162
Alfonso Reyes,2024-09-23,18,13.3453300124533
Alfonso Reyes,2024-09-23,19,14.237742594484168
Alfonso Reyes,2024-09-23,20,14.575618889120035
Alfonso Reyes,2024-09-23,21,15.300264939652635
Alfonso Reyes,2024-09-23,22,16.194451579758542
